"EscrowBalanceAmount","EscrowMonthlyPaymentAmount","FeeSummaryTotalFeesAmount","GraceDaysPaidDescription","InterestPaymentAmount","LatePaymentDaysCount","LifeInsuranceAmount","MonetaryEventAppliedDate","MonetaryEventEffectiveDate","MonetaryEventExplanationName","MonetaryEventPaymentDueDate","MonetaryEventPaymentIdentifier","MonetaryEventSourceOfFunds","MonetaryEventTotalPaymentAmount","MonetaryEventType","MonetaryEventTypeDescription","MonetaryEventTypeText","MonetaryEventUPBAmount","PrincipalPaymentAmount","SuspenseBalanceAmount","SuspensePaymentAmount"
0,790.41,0,"",0,"",0,"2025-12-01","2025-12-01","","2026-01-01","","",790.41,"escrow","Escrow","Escrow Advance",371472.24,0,0,0
-790.41,-2378.59,0,"",0,"",0,"2025-12-01","2025-12-01","","2025-12-01","EDIAL","",-2378.59,"escrow","Insurance Paid","Homeowners Insurance Disbursement",371472.24,0,0,0
1588.18,648.99,0,"ByDueDate",853.15,0,0,"2025-12-01","2025-12-01","Payment","2025-12-01","","Draft ACH",2313.25,"payment","Payment","Payment",371472.24,811.11,0,0
939.19,-1829.65,0,"",0,"",0,"2025-11-26","2025-11-26","","2025-12-01","11005","",-1829.65,"escrow","Taxes Paid","Tax Disbursement",372283.35,0,0,0
2768.84,648.99,0,"ByDueDate",855.00,0,0,"2025-11-03","2025-11-01","Payment","2025-11-01","","Draft ACH",2313.25,"payment","Payment","Payment",372283.35,809.26,0,0
2119.85,648.99,0,"ByDueDate",856.85,0,0,"2025-10-01","2025-10-01","Payment","2025-10-01","","Draft ACH",2313.25,"payment","Payment","Payment",373092.61,807.41,0,0
0.0,0.0,-79.10,"",0,"",0,"2025-09-22","2025-09-22","","2025-10-01","","",-79.10,"other","Waiver","Late Charge Adjustment",0.0,0.0,0,0
1470.86,0,-79.10,"",0,"",0,"2025-09-19","2025-09-19","Misapplication Reversal","2025-10-01","","",-79.10,"reversals","Misapplied Funds","Misapplication Reversal",373900.02,0,0,0
1470.86,648.99,0,"ByDueDate",858.70,0,0,"2025-09-02","2025-09-01","Payment","2025-09-01","","Draft ACH",2313.25,"payment","Payment","Payment",373900.02,805.56,0,0
821.87,298.40,0,"ByDueDate",860.54,0,0,"2025-08-01","2025-08-01","Payment","2025-08-01","","Draft ACH",1962.66,"payment","Payment","Payment",374705.58,803.72,0,0
523.47,298.40,0,"ByDueDate",862.38,0,0,"2025-07-01","2025-07-01","Payment","2025-07-01","","Draft ACH",1962.66,"payment","Payment","Payment",375509.30,801.88,0,0
298.40,298.40,0,"ByDueDate",864.21,0,0,"2025-06-02","2025-06-01","Payment","2025-06-01","","Draft ACH",1962.66,"payment","Payment","Payment",376311.18,800.05,0,0
0,73.33,0,"",0,"",0,"2025-05-28","2025-05-28","","2025-06-01","","",73.33,"escrow","Escrow","Escrow Advance",377111.23,0,0,0
-73.33,-1899.50,0,"",0,"",0,"2025-05-28","2025-05-28","","2025-06-01","11005","",-1899.50,"escrow","Taxes Paid","Tax Disbursement",377111.23,0,0,0
1826.17,298.40,0,"ByDueDate",866.04,0,0,"2025-05-01","2025-05-01","Payment","2025-05-01","","Draft ACH",1962.66,"payment","Payment","Payment",377111.23,798.22,0,0
1527.77,298.40,0,"AfterExpiredGraceDays",867.87,24,0,"2025-04-25","2025-04-25","Payment","2025-04-01","","Draft ACH",1962.66,"payment","Payment","Payment",377909.45,796.39,0,0
1229.37,298.40,0,"AfterExpiredGraceDays",869.69,55,0,"2025-04-25","2025-04-25","Payment","2025-03-01","","Draft ACH",1962.66,"payment","Payment","Payment",378705.84,794.57,0,0
930.97,298.40,0,"AfterExpiredGraceDays",871.51,83,0,"2025-04-25","2025-04-25","Payment","2025-02-01","","Draft ACH",1962.66,"payment","Payment","Payment",379500.41,792.75,0,0
632.57,-298.40,0,"",-871.51,"",0,"2025-02-06","2025-02-06","Returned Payment Reversal","2025-02-01","","",-1962.66,"reversals","Reversal","Returned Payment Reversal",380293.16,-792.75,0,0
298.40,298.40,0,"ByDueDate",871.51,0,0,"2025-02-03","2025-02-01","Payment","2025-02-01","","Draft ACH",1962.66,"payment","Payment","Payment",379500.41,792.75,0,0
298.40,298.40,0,"ByDueDate",873.32,0,0,"2025-01-02","2025-01-01","Payment","2025-01-01","","Draft ACH",1962.66,"payment","Payment","Payment",380293.16,790.94,0,0
0,666.17,0,"",0,"",0,"2024-12-05","2024-12-05","","2025-01-01","","",666.17,"escrow","Escrow","Escrow Advance",381084.10,0,0,0
-666.17,-1899.50,0,"",0,"",0,"2024-12-05","2024-12-05","","2024-12-01","11005","",-1899.50,"escrow","Taxes Paid","Tax Disbursement",381084.10,0,0,0
1233.33,-1933.37,0,"",0,"",0,"2024-12-02","2024-12-02","","2024-12-01","EDIAL","",-1933.37,"escrow","Insurance Paid","Homeowners Insurance Disbursement",381084.10,0,0,0
3166.70,298.40,0,"ByDueDate",875.13,0,0,"2024-12-02","2024-12-01","Payment","2024-12-01","","Draft ACH",1962.66,"payment","Payment","Payment",381084.10,789.13,0,0
2868.30,298.40,0,"ByDueDate",876.93,0,0,"2024-11-01","2024-11-01","Payment","2024-11-01","","Draft ACH",1962.66,"payment","Payment","Payment",381873.23,787.33,0,0
2569.90,298.40,0,"ByDueDate",878.73,0,0,"2024-10-01","2024-10-01","Payment","2024-10-01","","Draft ACH",1962.66,"payment","Payment","Payment",382660.56,785.53,0,0
2271.50,298.40,0,"ByDueDate",880.53,0,0,"2024-09-03","2024-09-01","Payment","2024-09-01","","Draft ACH",1962.66,"payment","Payment","Payment",383446.09,783.73,0,0
1973.10,354.39,0,"ByDueDate",882.32,0,0,"2024-08-01","2024-08-01","Payment","2024-08-01","","Draft ACH",2018.65,"payment","Payment","Payment",384229.82,781.94,0,0
1618.71,-1000.34,0,"",0,"",0,"2024-07-18","2024-07-18","","","","",-1000.34,"escrow","Escrow","Escrow to Mortgagor Disbursement",385011.76,0,0,0
2619.05,354.39,0,"ByDueDate",884.11,0,0,"2024-07-01","2024-07-01","Payment","2024-07-01","","Draft ACH",2018.65,"payment","Payment","Payment",385011.76,780.15,0,0
2264.66,354.39,0,"ByDueDate",885.89,0,0,"2024-06-03","2024-06-01","Payment","2024-06-01","","Draft ACH",2018.65,"payment","Payment","Payment",385791.91,778.37,0,0
1910.27,-1010.90,0,"",0,"",0,"2024-05-28","2024-05-28","","2024-06-01","11005","",-1010.90,"escrow","Taxes Paid","Tax Disbursement",386570.28,0,0,0
2921.17,354.39,0,"ByDueDate",887.67,0,0,"2024-05-01","2024-05-01","Payment","2024-05-01","","Draft ACH",2018.65,"payment","Payment","Payment",386570.28,776.59,0,0
2566.78,354.39,0,"ByDueDate",889.45,0,0,"2024-04-01","2024-04-01","Payment","2024-04-01","","Draft ACH",2018.65,"payment","Payment","Payment",387346.87,774.81,0,0
2212.39,354.39,0,"ByDueDate",891.22,0,0,"2024-03-01","2024-03-01","Payment","2024-03-01","","Draft ACH",2018.65,"payment","Payment","Payment",388121.68,773.04,0,0
1858.00,354.39,0,"ByDueDate",892.98,0,0,"2024-02-01","2024-02-01","Payment","2024-02-01","","Draft ACH",2018.65,"payment","Payment","Payment",388894.72,771.28,0,0
1503.61,354.39,0,"ByDueDate",894.75,0,0,"2024-01-02","2024-01-01","Payment","2024-01-01","","Draft ACH",2018.65,"payment","Payment","Payment",389666.00,769.51,0,0
1149.22,-1559.00,0,"",0,"",0,"2023-12-01","2023-12-01","","2023-12-01","EDIAL","",-1559.00,"escrow","Insurance Paid","Homeowners Insurance Disbursement",390435.51,0,0,0
2708.22,-1010.90,0,"",0,"",0,"2023-12-01","2023-12-01","","2023-12-01","11005","",-1010.90,"escrow","Taxes Paid","Tax Disbursement",390435.51,0,0,0
3719.12,354.39,0,"ByDueDate",896.51,0,0,"2023-12-01","2023-12-01","Payment","2023-12-01","","Draft ACH",2018.65,"payment","Payment","Payment",390435.51,767.75,0,0
3364.73,354.39,0,"ByDueDate",898.26,0,0,"2023-11-01","2023-11-01","Payment","2023-11-01","","Draft ACH",2018.65,"payment","Payment","Payment",391203.26,766.00,0,0
3010.34,354.39,0,"ByDueDate",900.01,0,0,"2023-10-02","2023-10-01","Payment","2023-10-01","","Draft ACH",2018.65,"payment","Payment","Payment",391969.26,764.25,0,0
2655.95,354.39,0,"ByDueDate",901.76,0,0,"2023-09-01","2023-09-01","Payment","2023-09-01","","Draft ACH",2018.65,"payment","Payment","Payment",392733.51,762.50,0,0
2301.56,265.80,0,"ByDueDate",0,-9,0,"2023-08-23","2023-08-23","Payment","2023-09-01","","",265.80,"payment","Payment","Payment",393496.01,0,0,0
2035.76,313.13,0,"ByDueDate",903.51,0,0,"2023-08-01","2023-08-01","Payment","2023-08-01","","Draft ACH",1977.39,"payment","Payment","Payment",393496.01,760.75,0,0
1722.63,-265.80,0,"",0,"",0,"2023-07-20","2023-07-20","","","","",-265.80,"escrow","Escrow","Escrow to Mortgagor Disbursement",394256.76,0,0,0
1988.43,313.13,0,"ByDueDate",905.24,0,0,"2023-07-03","2023-07-01","Payment","2023-07-01","","Draft ACH",1977.39,"payment","Payment","Payment",394256.76,759.02,0,0
1675.30,313.13,0,"ByDueDate",906.98,0,0,"2023-06-01","2023-06-01","Payment","2023-06-01","","Draft ACH",1977.39,"payment","Payment","Payment",395015.78,757.28,0,0
1362.17,-1508.12,0,"",0,"",0,"2023-05-23","2023-05-23","","2023-06-01","11005","",-1508.12,"escrow","Taxes Paid","Tax Disbursement",395773.06,0,0,0
2870.29,313.13,0,"ByDueDate",908.71,0,0,"2023-05-01","2023-05-01","Payment","2023-05-01","","Draft ACH",1977.39,"payment","Payment","Payment",395773.06,755.55,0,0
2557.16,313.13,0,"ByDueDate",910.44,0,0,"2023-04-03","2023-04-01","Payment","2023-04-01","","Draft ACH",1977.39,"payment","Payment","Payment",396528.61,753.82,0,0
2244.03,313.13,0,"ByDueDate",912.16,0,0,"2023-03-01","2023-03-01","Payment","2023-03-01","","Draft ACH",1977.39,"payment","Payment","Payment",397282.43,752.10,0,0
1930.90,313.13,0,"ByDueDate",913.88,0,0,"2023-02-01","2023-02-01","Payment","2023-02-01","","Draft ACH",1977.39,"payment","Payment","Payment",398034.53,750.38,0,0
1617.77,313.13,0,"ByDueDate",915.60,0,0,"2023-01-03","2023-01-01","Payment","2023-01-01","","Draft ACH",1977.39,"payment","Payment","Payment",398784.91,748.66,0,0
1304.64,-1571.15,0,"",0,"",0,"2022-12-01","2022-12-01","","2022-12-01","EDIAL","",-1571.15,"escrow","Insurance Paid","Homeowners Insurance Disbursement",399533.57,0,0,0
2875.79,313.13,0,"ByDueDate",917.31,0,0,"2022-12-01","2022-12-01","Payment","2022-12-01","","Draft ACH",1977.39,"payment","Payment","Payment",399533.57,746.95,0,0
2562.66,-1508.12,0,"",0,"",0,"2022-11-25","2022-11-25","","2022-12-01","11005","",-1508.12,"escrow","Taxes Paid","Tax Disbursement",400280.52,0,0,0
4070.78,1227.88,0,"ByDueDate",0,-22,0,"2022-11-09","2022-11-09","Payment","2022-12-01","","",1227.88,"payment","Payment","Payment",400280.52,0,0,0
2842.90,313.13,0,"ByDueDate",919.02,0,0,"2022-11-01","2022-11-01","Payment","2022-11-01","","Draft ACH",1977.39,"payment","Payment","Payment",400280.52,745.24,0,0
2529.77,313.13,0,"ByDueDate",920.72,0,0,"2022-10-03","2022-10-01","Payment","2022-10-01","","Draft ACH",1977.39,"payment","Payment","Payment",401025.76,743.54,0,0
2216.64,313.13,0,"ByDueDate",922.42,0,0,"2022-09-01","2022-09-01","Payment","2022-09-01","","Draft ACH",1977.39,"payment","Payment","Payment",401769.30,741.84,0,0
1903.51,313.14,0,"ByDueDate",924.12,0,0,"2022-08-01","2022-08-01","Payment","2022-08-01","","Draft ACH",1977.40,"payment","Payment","Payment",402511.14,740.14,0,0
1590.37,-1227.88,0,"",0,"",0,"2022-07-21","2022-07-21","","","","",-1227.88,"escrow","Escrow","Escrow to Mortgagor Disbursement",403251.28,0,0,0
2818.25,313.14,0,"ByDueDate",925.81,0,0,"2022-07-01","2022-07-01","Payment","2022-07-01","","Draft ACH",1977.40,"payment","Payment","Payment",403251.28,738.45,0,0
2505.11,313.14,79.10,"ByDueDate",927.50,-14,0,"2022-05-19","2022-05-18","Payment","2022-06-01","","Draft ACH",2056.50,"payment","Payment","Payment",403989.73,736.76,0,0
2191.97,313.14,0,"AfterExpiredGraceDays",929.18,17,0,"2022-05-19","2022-05-18","Payment","2022-05-01","","Draft ACH",1977.40,"payment","Payment","Payment",404726.49,735.08,0,0
0.0,0.0,79.10,"",0,"",0,"2022-05-16","2022-05-16","","2022-05-01","","",79.10,"other","Late Charge","Late Charge Assessment",0.0,0.0,0,0
1878.83,313.14,79.10,"AfterExpiredGraceDays",930.86,24,0,"2022-04-26","2022-04-25","Payment","2022-04-01","","Draft ACH",2056.50,"payment","Payment","Payment",405461.57,733.40,0,0
0.0,0.0,79.10,"",0,"",0,"2022-04-18","2022-04-18","","2022-04-01","","",79.10,"other","Late Charge","Late Charge Assessment",0.0,0.0,0,0
1565.69,0,0,"",0,"",0,"2022-03-07","2022-03-06","Principal Curtailment","2022-04-01","","Draft ACH",740.00,"payment","Principal Curtailment","Principal Only Payment",406194.97,740.00,0,0
1565.69,313.14,0,"WithinGraceDays",934.23,5,0,"2022-03-07","2022-03-06","Payment","2022-03-01","","Draft ACH",1977.40,"payment","Payment","Payment",406934.97,730.03,0,0
